Respondent_Serial,brand,OSAT,Food looks appetizing,Has food that tastes good,Has food I crave,Provides the right proportions of ingredients,Has a wide variety of menu options,Offers healthy/better-for-you menu options,Is making changes to improve their food,"Has a unique, distinctive approach that makes food better",Has a wide range of ingredients,Portions are the right size for my appetite,Has good environmental/sustainability practices,Is worth the price,Is something I can afford to eat regularly,Is competitively priced,Is a good value for the money,Has enticing promotional offers,Has a good loyalty program,Employees show care for my food/order,Provides fast service,Ordering is simple and easy,Employees are friendly and engaging,Level of visibility of my food being made,I’m able to make my order exactly how I would like it,Provides a consistent experience,Integrates technology into its ordering process,Food is easy to eat on-the-go,I can easily order for delivery to a location convenient to me,Food prep area is clean and organized,Restaurant is clean,Environment is warm and inviting,Decor is current and modern,Restaurant environment is designed for someone like me,Restaurant has curb appeal,Ingredients are fresh,Ingredients are high quality,Offers good quality meats,Offers good quality veggies and toppings,Uses freshly baked bread,They make me feel valued,Place I am happy to be seen
7626,Subway,5,5,5,5,5,2,3,4,3,4,5,4,4,5,5,5,6,,4,4,5,5,5,5,5,2,6,5,4,4,5,3,4,4,5,4,4,5,5,4,4
7626,Chipotle,4,5,5,2,4,4,5,4,3,4,4,4,4,5,4,3,3,,3,4,5,4,4,4,4,4,3,5,4,4,4,3,4,5,5,5,5,5,4,4,4
7634,Chipotle,5,4,5,5,5,4,4,5,5,4,5,5,4,4,4,4,4,5,4,4,5,4,7,5,4,5,3,4,5,5,5,4,4,5,5,5,5,5,,5,5
7634,Firehouse Subs,6,7,7,7,5,7,6,6,6,6,6,7,7,5,5,7,6,5,6,6,6,6,4,6,6,6,6,6,7,6,7,5,6,5,6,7,7,6,7,6,7
7639,Jersey Mikes,6,7,7,7,7,7,7,6,7,7,7,7,7,6,6,7,6,6,7,6,7,7,7,7,7,7,7,7,7,7,7,7,6,6,7,7,7,7,7,7,6
7639,Jimmy Johns,6,6,6,7,7,6,6,6,6,7,6,7,6,6,6,7,6,6,6,6,7,6,6,7,6,6,7,7,7,7,7,7,6,6,7,7,7,6,7,7,6
7642,Subway,6,7,7,6,7,7,6,6,4,7,5,6,5,4,6,5,6,4,6,7,6,7,7,7,7,7,7,6,7,6,6,5,6,5,7,6,6,6,7,7,7
7642,McDonalds,7,5,7,5,6,6,4,6,5,7,6,5,4,6,5,6,6,5,4,4,4,5,3,6,6,6,6,5,4,5,6,6,5,6,6,6,6,3,5,5,5
7654,Firehouse Subs,4,3,5,4,5,5,5,,5,4,3,,4,1,4,4,,,4,4,5,5,5,5,4,,3,,6,5,5,4,5,5,5,5,5,4,5,3,5
7654,McDonalds,3,3,3,1,3,3,2,3,2,3,3,3,2,2,2,2,4,,4,3,3,3,4,4,2,4,4,,3,1,3,3,3,,2,3,2,4,4,2,2
7674,Chipotle,7,7,7,7,6,6,7,6,7,7,6,6,7,4,5,7,6,,7,6,7,7,4,7,7,6,4,7,,7,7,7,7,6,7,7,7,7,,6,7
7674,Firehouse Subs,6,7,7,7,7,5,7,7,7,6,7,5,7,5,5,6,7,,7,7,6,7,6,7,6,,7,7,7,7,7,7,7,5,7,7,7,7,7,6,7
7695,Jersey Mikes,5,5,5,4,5,5,6,6,4,6,4,4,6,5,3,5,5,6,5,5,6,5,5,6,6,6,3,5,3,6,6,6,5,6,6,6,5,6,5,6,6
7695,Panera,6,7,7,6,4,5,6,5,6,5,4,4,6,5,6,7,6,7,6,4,7,5,6,5,6,6,,5,4,7,6,5,4,6,5,6,,7,5,7,5
7703,Subway,5,7,6,4,7,7,6,5,6,6,7,,7,7,6,7,5,,7,6,7,6,7,7,7,,3,,6,7,7,6,7,7,7,7,4,7,7,7,7
7703,McDonalds,6,6,7,6,6,6,,5,5,6,6,,6,7,4,6,7,,4,6,7,5,3,7,7,6,7,,5,7,5,7,5,7,6,5,7,,,7,7
7706,Firehouse Subs,5,5,5,5,5,6,5,6,6,5,5,5,5,5,5,5,5,6,5,5,5,5,4,5,5,5,5,6,5,6,5,5,5,5,5,6,5,4,5,5,5
7706,Panera,5,6,4,4,5,5,5,5,4,4,6,4,5,4,5,5,5,5,5,4,5,4,5,6,5,5,5,4,5,4,5,5,5,5,5,4,5,5,5,4,5
7711,Subway,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,5,,4,4,5,4,4,5,5,4,4,,4,4,4,4,,4,5,5,5,5,5,4,4
7711,McDonalds,2,3,3,3,4,4,3,3,3,5,3,4,5,5,4,3,,,4,4,4,3,4,3,4,,3,,4,4,,,,4,4,4,3,4,3,,2
7719,Chipotle,6,5,6,5,6,5,5,5,5,5,6,5,6,5,5,6,6,5,5,5,6,5,5,6,6,5,6,5,5,6,5,6,6,5,5,5,6,6,6,6,5
7719,Panera,4,6,6,6,6,7,6,6,4,6,6,6,6,6,7,6,7,5,6,6,6,5,7,6,6,6,6,6,6,7,6,6,6,6,5,6,6,5,6,6,6
7721,Jersey Mikes,5,5,5,6,4,7,5,5,4,6,5,6,6,4,5,5,5,5,5,6,6,5,5,4,6,6,4,6,6,4,4,4,5,5,6,5,5,5,5,4,5
7721,Jimmy Johns,4,5,5,5,5,4,7,5,6,5,5,5,5,6,6,6,6,6,6,7,5,6,5,6,7,6,7,7,6,7,6,7,7,5,6,6,6,5,5,4,7
7738,Chipotle,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
7738,Jimmy Johns,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
7756,Chipotle,7,7,7,7,7,7,7,7,7,7,7,7,7,6,5,7,7,6,7,7,7,7,7,7,7,7,,1,7,7,7,7,7,7,7,7,7,7,,7,7
7756,Firehouse Subs,1,7,1,1,7,7,7,2,1,7,7,4,1,6,5,1,1,,1,1,7,1,7,5,1,4,1,1,1,4,1,7,6,7,5,2,4,4,4,1,1
7757,Jersey Mikes,2,2,2,2,2,5,3,4,2,2,2,2,4,4,4,3,2,,3,4,3,3,4,5,5,3,3,5,4,5,2,4,3,2,3,5,4,5,2,4,2
7757,Panera,4,7,7,6,6,7,5,6,6,7,5,6,5,6,5,7,5,,6,5,6,6,5,6,7,7,5,5,,7,6,7,5,6,6,7,6,6,6,7,6
7763,Jersey Mikes,6,5,6,6,5,6,4,7,6,4,6,4,5,5,6,4,6,6,4,5,6,5,6,5,5,5,6,6,5,4,4,5,5,6,6,5,5,5,5,6,6
7763,Jimmy Johns,5,6,4,5,6,4,4,6,6,5,5,5,5,5,4,5,6,6,6,5,6,5,6,5,2,6,6,4,5,5,5,4,5,5,5,5,6,4,5,5,5
7766,Chipotle,2,5,4,5,5,3,6,5,3,5,5,3,4,,5,3,1,,2,5,5,3,7,6,5,3,3,3,4,4,4,3,4,5,5,6,4,3,4,1,4
7766,Panera,5,5,6,4,4,5,5,4,4,5,5,4,4,2,4,4,3,4,3,4,3,4,3,6,4,3,5,5,4,5,4,4,4,4,5,5,5,3,5,2,5
7786,Subway,7,7,6,7,6,6,7,6,6,7,7,6,6,7,7,6,6,6,6,6,7,5,7,7,6,6,6,6,6,6,5,6,6,6,6,6,6,6,7,6,6
7786,Firehouse Subs,7,7,6,5,6,5,6,6,5,6,6,6,7,4,5,6,6,6,6,7,6,6,7,7,6,5,6,7,6,6,6,6,5,6,6,6,7,7,6,6,6
7800,Jersey Mikes,5,5,7,7,6,5,5,6,7,7,6,5,6,6,7,5,6,6,6,6,6,6,7,6,6,5,7,5,6,6,6,6,6,7,6,6,7,7,7,6,7
7800,Jimmy Johns,5,6,7,6,5,5,6,6,6,6,7,4,7,6,6,6,6,6,6,7,6,6,6,6,6,6,5,6,6,6,6,5,6,6,6,6,7,6,6,7,6
7804,Firehouse Subs,7,7,7,7,7,7,7,7,6,7,7,6,6,6,6,7,5,7,5,7,7,5,5,7,7,6,6,,6,7,7,7,6,6,7,7,7,7,7,6,7
7804,McDonalds,5,4,5,4,3,5,4,5,5,4,4,4,4,5,5,5,5,7,4,6,7,4,4,6,4,6,6,6,5,5,5,6,6,5,4,5,4,4,5,4,5
7806,Chipotle,5,5,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,5,6,5,6,6,5,6,5,5,6,6,6,6,5,6,5,6,7,6,6,6,6,6,6
7806,Jimmy Johns,5,5,5,5,5,5,5,4,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
7832,Subway,7,6,6,7,6,7,6,5,4,6,6,6,6,6,6,6,5,7,7,6,6,6,6,7,5,,7,6,6,5,6,6,5,5,6,5,6,5,6,5,6
7832,McDonalds,7,6,6,7,5,6,5,5,5,5,6,4,4,6,5,5,6,6,,7,6,5,5,6,7,6,7,7,6,6,5,5,5,6,5,5,4,4,4,5,5
7834,Firehouse Subs,7,6,7,6,6,6,7,7,7,7,5,7,7,6,7,6,7,5,7,7,7,7,6,6,7,7,7,7,6,7,7,6,6,6,6,7,7,6,7,7,6
7834,Panera,7,7,7,5,7,7,6,7,7,6,7,6,7,7,6,7,5,7,7,7,7,7,7,7,7,7,6,7,6,7,7,7,7,7,7,7,7,7,6,7,7
7847,Subway,5,5,5,4,5,4,4,4,3,5,4,4,4,4,4,4,4,4,4,4,4,4,3,5,4,5,5,3,5,5,5,4,4,4,5,4,5,4,5,4,5
7847,Chipotle,3,4,4,3,4,4,4,4,6,5,6,2,4,4,4,4,4,,3,5,5,4,3,6,5,5,4,4,4,4,3,3,4,5,5,3,4,4,4,5,4
7860,McDonalds,6,7,5,6,6,5,7,5,6,6,4,6,6,5,5,7,5,5,6,4,6,5,5,5,5,6,4,6,4,6,6,6,7,5,5,5,5,5,6,5,5
7860,Panera,6,5,5,5,5,5,6,5,5,2,5,5,3,4,5,4,5,4,4,5,6,5,4,6,4,4,5,6,3,5,4,6,6,3,4,3,4,4,5,5,5
7910,Jersey Mikes,6,6,6,6,6,6,5,6,5,6,6,7,7,6,6,6,6,6,6,5,6,5,5,5,6,6,6,5,6,6,5,6,6,6,7,6,5,5,6,6,6
7910,Jimmy Johns,7,6,7,6,6,5,7,6,5,7,6,6,7,7,6,7,7,5,6,7,7,5,5,6,6,6,6,7,6,6,6,5,6,7,5,6,5,6,6,6,7
7928,Jersey Mikes,6,6,5,7,6,6,4,6,5,5,5,5,5,5,6,6,6,4,7,5,5,3,7,5,5,5,6,6,7,7,6,6,6,5,6,7,5,5,,6,5
7928,Panera,7,7,5,7,6,7,7,6,7,6,6,6,7,5,5,6,6,5,6,7,6,7,7,6,6,6,7,6,6,5,6,5,6,6,7,7,7,6,6,6,6
7935,Jersey Mikes,6,7,6,6,5,5,6,7,7,6,5,5,6,6,7,6,6,6,5,5,7,7,6,5,6,6,6,7,5,7,7,7,7,7,7,5,6,6,6,6,5
7935,Jimmy Johns,5,5,7,7,7,4,6,5,7,6,7,5,7,5,6,7,5,5,6,7,7,6,6,6,5,6,5,7,7,6,5,5,6,6,7,6,7,5,7,6,6
7945,Chipotle,3,5,6,5,4,5,5,5,6,6,4,3,5,4,4,5,5,6,5,5,4,4,5,4,5,4,5,4,4,5,5,6,6,5,6,5,4,6,5,4,6
7945,Jimmy Johns,5,6,6,6,4,5,5,5,4,6,4,4,5,5,5,4,6,7,3,5,5,4,5,4,5,5,4,5,5,5,6,5,6,6,6,6,6,5,6,6,5
7957,Jersey Mikes,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
7957,Jimmy Johns,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
7986,Chipotle,3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
7986,McDonalds,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
8001,Firehouse Subs,4,7,6,6,6,6,6,6,6,6,5,6,7,7,7,5,6,6,6,7,6,6,7,6,6,4,6,7,6,6,6,6,6,6,6,6,7,6,7,6,5
8001,Jimmy Johns,5,7,6,7,7,6,6,5,6,5,6,6,7,6,6,6,6,5,7,7,5,6,3,7,5,6,5,7,5,5,6,6,5,6,6,5,3,7,6,5,7
8017,Firehouse Subs,7,6,6,6,6,6,5,5,6,6,6,5,6,6,6,6,6,5,6,6,6,6,6,5,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6
8017,Panera,6,6,6,7,6,6,6,6,5,7,7,7,6,6,6,7,6,6,6,6,6,6,6,7,6,6,6,6,6,7,6,7,6,7,7,7,7,6,6,6,6
8021,Chipotle,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7
8021,Panera,6,7,7,7,7,7,7,7,7,7,7,6,6,6,6,7,5,5,7,6,6,6,7,7,7,6,7,7,7,7,7,7,6,7,6,7,7,7,6,6,7
8044,Subway,7,7,7,7,7,7,7,4,7,7,7,4,7,6,4,7,3,4,7,1,7,7,7,7,7,1,7,3,7,6,7,7,6,7,7,6,7,7,7,4,7
8044,McDonalds,7,7,7,7,7,7,5,3,4,3,4,4,4,2,7,4,6,5,6,1,2,2,1,4,1,4,4,7,1,6,2,2,1,2,7,7,7,5,4,1,5
8051,Subway,7,7,7,7,7,7,7,5,7,6,7,7,7,5,6,7,5,4,7,1,7,7,7,7,7,7,4,6,7,7,7,7,7,7,7,7,7,7,7,7,7
8051,Jimmy Johns,6,5,7,3,3,5,4,4,5,6,6,5,4,5,5,4,4,4,6,5,6,6,7,7,6,6,3,5,4,6,5,7,6,5,5,6,6,7,7,4,5
8060,Jersey Mikes,4,7,7,,,7,,,7,,,5,5,,,6,7,,,,,,7,,,,,3,7,,5,,7,,,7,,,,,
8060,Panera,4,,,4,7,,,,,,,,3,,3,3,4,,,,,,,,,,,3,,,,,,,,4,7,,,,
8097,Chipotle,6,7,7,7,7,7,7,6,7,7,7,6,7,7,7,7,,6,6,7,7,7,6,7,6,7,6,6,7,7,6,6,7,7,6,6,6,7,7,7,7
8097,Jersey Mikes,2,4,4,4,4,3,3,3,4,3,4,2,2,4,5,4,4,4,3,4,4,4,5,4,4,3,4,4,3,4,4,5,4,5,4,4,4,4,4,4,4
8122,Firehouse Subs,4,6,4,4,6,6,5,5,5,5,6,3,6,5,6,6,7,4,5,4,5,4,4,5,5,6,6,6,5,6,4,5,4,7,4,4,5,6,5,5,2
8122,McDonalds,6,5,6,7,7,5,5,6,6,6,5,6,5,6,5,4,5,5,6,7,6,4,5,7,7,7,5,5,4,7,6,7,7,5,4,6,7,6,7,5,4
8126,Firehouse Subs,6,5,5,4,5,5,3,4,4,6,4,4,5,5,5,7,6,5,5,5,5,5,4,6,4,5,6,5,2,6,5,5,4,5,5,4,5,5,5,5,5
8126,Jimmy Johns,4,6,5,6,4,4,6,4,3,5,4,4,4,4,7,5,5,5,4,5,5,4,4,4,5,4,5,4,4,7,6,3,4,3,4,5,4,3,,5,6
8130,Chipotle,2,5,5,1,3,4,2,3,5,5,6,2,3,2,4,3,5,2,3,4,2,3,5,3,5,5,4,4,3,5,6,4,4,2,2,5,6,3,3,5,3
8130,Jersey Mikes,6,4,7,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,7,6,7,6,6,7,7,6,7,5,7,7,5,6,6,6,6,6,6,7,6,7
8165,Subway,4,3,4,3,5,5,5,4,3,4,4,4,3,4,3,4,4,,2,5,4,2,5,4,4,4,5,4,4,4,4,4,4,3,5,4,4,5,4,2,4
8165,McDonalds,4,3,3,2,3,3,2,2,2,3,2,3,3,3,3,3,4,2,2,4,5,2,2,2,3,4,4,4,3,3,3,3,2,3,3,3,2,2,1,3,3
8171,Firehouse Subs,5,3,5,4,4,4,3,4,4,4,2,5,4,4,4,5,4,5,4,6,5,4,4,3,3,5,3,3,4,4,5,4,5,6,4,5,3,3,4,4,3
8171,Jersey Mikes,4,4,4,4,4,5,3,3,3,4,3,3,4,3,4,4,5,4,3,4,1,5,5,4,4,4,4,3,4,4,5,3,4,4,4,3,3,4,5,4,4
8192,Subway,2,4,3,4,2,3,5,3,2,4,2,4,2,4,4,3,3,1,1,2,3,2,5,5,5,1,4,3,2,3,2,2,5,2,4,2,3,4,6,1,3
8192,Chipotle,5,5,6,5,5,5,4,4,4,5,5,5,5,5,2,4,5,2,4,4,6,5,3,3,6,2,2,5,2,5,3,5,5,5,4,4,5,4,5,4,2
8198,Chipotle,7,5,7,6,6,6,6,6,6,6,6,7,7,6,6,6,5,7,6,6,6,7,6,6,5,6,6,5,6,6,5,5,5,6,6,6,7,7,6,6,6
8198,McDonalds,7,7,6,,7,7,6,6,6,7,6,6,6,6,7,7,7,7,6,6,6,6,5,5,6,7,6,6,7,7,6,6,6,7,7,5,6,6,6,5,6
8204,Jimmy Johns,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6
8204,Panera,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,6,7,7,7,7,6
8237,Firehouse Subs,7,7,7,7,7,7,5,5,7,7,7,6,6,2,4,4,4,5,7,7,7,7,6,6,7,6,3,3,7,7,6,6,6,6,7,7,7,7,7,7,7
8237,Jimmy Johns,7,7,7,7,7,6,6,4,7,7,7,2,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,7,7,7,5,7,7,7,7,7,7,7,7,7,7
8250,Jersey Mikes,7,7,7,7,7,6,7,5,6,7,7,,6,3,3,4,4,,7,7,7,5,7,7,7,,6,,7,7,6,7,5,5,7,7,7,7,7,5,
8250,Panera,1,6,2,1,6,4,5,1,4,6,6,,1,4,4,2,,,4,4,4,3,3,1,7,5,7,,3,5,4,4,1,6,2,4,4,4,7,1,1
8265,Firehouse Subs,7,7,7,7,7,7,6,7,7,7,7,,7,7,7,7,7,,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,,7,7,7,7,7,7
8265,Jersey Mikes,7,7,7,7,7,3,4,7,7,7,7,,7,1,4,7,7,,7,7,7,7,7,6,7,,7,7,6,7,7,,7,,7,6,7,7,7,7,7
8281,Subway,6,6,7,7,7,6,6,6,7,6,6,6,6,6,6,6,6,7,6,6,6,6,6,6,6,6,7,6,7,6,7,6,6,7,6,6,7,6,6,7,6
8281,McDonalds,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
8305,Subway,7,7,7,5,7,7,7,7,7,7,7,7,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,7,7,7,7,7,7,7,7
8305,McDonalds,7,7,7,5,7,7,7,6,7,6,7,7,7,7,7,7,4,,4,5,7,5,7,7,7,4,7,7,6,7,6,4,4,4,7,7,6,4,5,7,7
8316,Jimmy Johns,4,6,5,6,7,7,6,5,5,6,5,5,6,6,6,7,5,5,7,6,6,6,5,5,6,5,6,5,6,7,7,6,5,5,7,6,6,6,7,7,6
8316,Panera,4,7,6,6,7,5,6,5,6,6,6,4,7,6,6,7,7,6,7,7,6,6,6,5,6,6,5,5,5,6,6,7,5,6,7,6,6,5,5,6,6
8378,McDonalds,7,7,7,7,5,7,4,7,7,5,7,,5,3,7,4,7,7,5,7,7,7,,7,7,7,5,7,7,3,5,5,5,7,6,3,5,4,3,4,7
8378,Panera,7,7,7,1,7,7,7,7,7,7,7,7,1,1,1,5,,7,7,7,7,7,,5,7,7,7,,7,7,7,7,7,4,7,7,7,7,7,7,7
8387,Firehouse Subs,3,6,2,5,4,6,4,2,2,1,1,5,4,5,5,3,2,6,5,2,6,6,5,5,4,3,3,5,4,4,3,1,3,5,5,3,1,5,3,3,4
8387,Jimmy Johns,4,4,6,4,3,5,4,1,3,6,6,4,7,6,5,3,2,2,2,6,4,6,6,3,3,5,3,5,4,5,5,6,5,6,6,4,6,5,7,4,2
8389,Chipotle,4,,,3,,4,4,,3,5,,,2,2,2,3,4,4,4,2,4,,5,,,,3,,4,,4,5,2,6,4,4,5,,3,,
8389,Jersey Mikes,7,6,6,6,7,4,5,6,6,6,6,5,5,6,7,6,7,7,6,6,6,5,7,7,7,6,5,7,6,6,6,6,7,5,7,7,7,7,7,5,5
8393,Subway,6,7,7,4,4,5,6,4,4,5,4,6,5,4,4,5,5,6,5,4,6,6,7,7,5,7,4,7,7,7,7,7,6,7,6,6,7,5,7,4,6
8393,Panera,6,7,7,5,6,5,7,6,6,6,7,,6,4,5,5,5,,6,6,4,7,6,6,7,,4,,7,7,7,7,6,7,6,7,7,7,7,6,7
8405,Chipotle,2,2,1,1,1,3,3,1,1,1,1,2,1,1,1,1,1,,1,3,3,3,3,3,1,,3,5,1,4,1,,1,1,1,3,3,2,1,3,1
8405,Jersey Mikes,6,7,6,6,6,5,5,4,5,6,5,5,4,5,4,4,,,5,5,6,4,6,6,5,,5,,,5,3,3,4,3,6,6,6,6,6,3,6
8423,Firehouse Subs,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
8423,Jimmy Johns,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
8439,Subway,6,7,6,7,6,6,6,6,6,7,6,6,6,6,6,6,6,6,6,6,7,7,7,6,7,6,7,6,6,6,6,7,6,7,6,7,6,6,7,7,6
8439,McDonalds,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,6,7,7,7,7,7,6,7,7,7,7,7,6,7,7,7
8517,Chipotle,6,6,5,3,6,7,3,7,6,7,7,6,3,6,3,6,4,4,6,3,7,4,6,7,7,6,5,3,7,5,5,4,6,5,4,6,7,5,5,4,5
8517,Jersey Mikes,6,5,6,7,6,5,5,5,6,6,4,6,3,6,4,7,6,6,5,3,7,4,5,7,4,5,4,3,7,5,3,7,5,6,7,4,7,4,7,7,5
8539,Jimmy Johns,6,6,6,6,6,6,6,5,6,5,7,6,5,6,5,6,6,5,5,7,5,6,5,6,6,7,6,6,6,7,6,7,5,5,6,5,7,6,6,7,7
8539,Panera,5,6,5,7,6,6,5,6,6,7,7,6,6,6,7,6,6,5,5,6,6,7,5,5,6,7,6,6,7,7,6,6,6,7,6,6,6,6,5,7,6
8544,Jersey Mikes,5,7,7,4,6,1,5,7,7,4,7,,1,1,1,1,1,,4,7,4,7,7,7,7,,,,7,7,4,,4,1,7,7,7,7,7,,
8544,McDonalds,5,7,6,7,7,5,1,4,5,5,7,,7,7,7,7,7,7,7,7,7,5,,7,7,7,7,,,,,,,7,7,5,,7,,5,
8575,Chipotle,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,3,7,7,7,7,7,7,7,7,7,7,7,7,7,4
8575,Panera,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
8630,Subway,7,6,6,5,7,7,7,4,,6,7,5,7,7,5,6,1,1,6,5,5,5,6,7,6,3,7,6,6,6,5,4,5,6,7,6,5,6,7,,7
8630,Panera,6,6,6,5,5,6,6,4,,7,6,6,5,3,3,5,2,,5,5,6,7,5,6,6,6,6,6,6,5,6,4,4,,6,5,6,6,6,6,7
8637,Subway,2,1,1,2,7,7,6,,4,7,7,,3,6,7,3,7,5,1,7,7,1,7,7,3,,7,,1,4,7,7,7,,1,1,2,1,2,1,
8637,Firehouse Subs,7,7,7,7,7,7,,,7,7,6,7,7,4,4,6,6,,7,7,7,7,7,7,7,,7,,6,7,7,7,7,7,7,7,7,7,6,7,7
8665,Subway,6,7,7,7,7,7,7,6,7,7,6,7,7,6,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
8665,Jimmy Johns,5,5,6,6,6,6,6,6,5,5,6,6,6,5,6,6,6,5,6,5,5,6,5,6,6,6,6,6,5,6,5,5,5,5,6,6,6,6,6,5,5
8667,Firehouse Subs,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
8667,Jimmy Johns,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
8684,Firehouse Subs,4,6,5,4,3,5,5,4,5,4,5,4,4,5,4,4,5,4,6,5,4,5,6,4,6,7,4,2,4,4,4,6,4,4,5,5,5,5,4,5,5
8684,Panera,4,4,4,3,4,5,6,4,4,4,4,4,4,5,4,3,5,4,4,5,4,5,5,4,5,7,4,4,4,4,3,5,4,4,5,4,4,5,4,4,4
8687,Jersey Mikes,6,7,6,6,7,6,7,6,5,6,6,7,6,7,6,6,6,7,6,6,5,5,6,6,5,7,5,7,6,6,7,6,5,7,7,5,7,6,5,6,7
8687,McDonalds,6,7,6,7,5,6,5,6,7,6,6,5,6,7,6,6,5,5,6,7,7,6,6,7,5,7,6,6,7,6,6,7,7,7,5,6,7,7,6,5,7
8736,Chipotle,3,5,6,4,5,5,6,4,5,4,5,6,5,5,5,5,5,5,5,5,5,5,4,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,6,4,5
8736,Firehouse Subs,4,5,5,5,6,5,6,5,5,6,5,5,4,4,6,5,5,6,5,5,5,6,5,5,5,5,5,6,5,4,5,5,5,5,5,6,5,5,5,6,5
8762,Jersey Mikes,5,6,6,6,5,6,5,6,6,6,6,5,5,4,6,6,5,7,5,5,6,5,7,5,5,7,6,5,5,7,6,7,6,5,7,6,5,5,5,7,6
8762,Jimmy Johns,5,6,5,7,6,6,5,5,5,6,7,6,6,6,6,5,6,6,5,5,7,5,5,6,7,6,4,4,5,6,5,6,6,6,6,5,4,5,5,7,5
8765,Chipotle,6,6,6,5,5,6,6,7,5,6,7,5,6,5,7,7,5,6,6,6,6,5,6,4,6,5,5,5,5,5,6,5,7,6,6,6,5,5,6,5,5
8765,McDonalds,5,5,6,7,6,6,5,6,5,5,5,5,6,6,7,5,6,6,5,5,5,6,6,6,6,6,6,5,4,5,6,6,6,7,5,6,7,6,6,7,5
8830,Chipotle,3,4,3,3,5,5,5,,4,5,4,,3,3,4,3,3,,5,5,3,5,6,5,5,,3,,5,5,4,5,4,,5,4,4,4,,3,
8830,Jimmy Johns,4,6,5,3,5,5,5,,4,5,5,,4,3,4,4,3,,4,5,6,5,7,5,4,,3,,5,4,3,4,4,,5,5,5,5,5,3,
8831,Subway,6,6,6,6,6,5,5,6,4,5,6,4,6,5,6,5,5,6,7,6,6,5,6,6,6,6,5,5,6,7,5,6,6,5,7,6,6,6,6,6,6
8831,McDonalds,7,7,7,7,6,6,6,6,6,7,6,7,6,7,6,6,7,7,7,7,7,7,7,6,6,6,7,6,6,7,7,7,6,7,6,7,6,6,7,6,7
8895,McDonalds,6,6,5,5,6,5,6,5,6,5,6,5,6,5,7,6,6,6,6,5,5,6,6,4,5,4,4,5,5,6,5,6,5,5,7,5,5,6,5,5,6
